lab_id,sio2_xrf,sio2_xrfq,sio2_grv,sio2_grvq,sio2_aes,sio2_aesq,sio2_aa,sio2_aaq,sio2_clr,sio2_clrq,sio2_unk,sio2_unkq,al2o3_xrf,al2o3_xrfq,al2o3_grv,al2o3_grvq,al2o3_aes,al2o3_aesq,al2o3_aa,al2o3_aaq,al2o3_clr,al2o3_clrq,al2o3_unk,al2o3_unkq,fe2o3_xrf,fe2o3_xrfq,fe2o3_grv,fe2o3_grvq,fe2o3_aes,fe2o3_aesq,fe2o3_aa,fe2o3_aaq,fe2o3_clr,fe2o3_clrq,fe2o3_unk,fe2o3_unkq,feo_aa,feo_aaq,feo_aes,feo_aesq,feo_grv,feo_grvq,feo_msc,feo_mscq,feo_ttr,feo_ttrq,feo_unk,feo_unkq,feto3_xrf,feto3_xrfq,feto3_aes,feto3_aesq,feto3_clr,feto3_clrq,feto3_msc,feto3_mscq,feto3_unk,feto3_unkq,mgo_xrf,mgo_xrfq,mgo_grv,mgo_grvq,mgo_aes,mgo_aesq,mgo_aa,mgo_aaq,mgo_unk,mgo_unkq,cao_xrf,cao_xrfq,cao_grv,cao_grvq,cao_aes,cao_aesq,cao_aa,cao_aaq,cao_unk,cao_unkq,na2o_xrf,na2o_xrfq,na2o_grv,na2o_grvq,na2o_aes,na2o_aesq,na2o_aa,na2o_aaq,na2o_msc,na2o_mscq,na2o_unk,na2o_unkq,k2o_xrf,k2o_xrfq,k2o_grv,k2o_grvq,k2o_aes,k2o_aesq,k2o_aa,k2o_aaq,k2o_msc,k2o_mscq,k2o_unk,k2o_unkq,tio2_xrf,tio2_xrfq,tio2_grv,tio2_grvq,tio2_aes,tio2_aesq,tio2_aa,tio2_aaq,tio2_clr,tio2_clrq,tio2_unk,tio2_unkq,p2o5_xrf,p2o5_xrfq,p2o5_grv,p2o5_grvq,p2o5_aes,p2o5_aesq,p2o5_aa,p2o5_aaq,p2o5_clr,p2o5_clrq,p2o5_unk,p2o5_unkq,mno_xrf,mno_xrfq,mno_grv,mno_grvq,mno_aes,mno_aesq,mno_aa,mno_aaq,mno_clr,mno_clrq,mno_unk,mno_unkq,loi_msc,loi_mscq,lof_unk,lof_unkq,h2o_m_msc,h2o_m_mscq,h2o_p_msc,h2o_p_mscq,h2o_t_msc,h2o_t_mscq,co2_ttr,co2_ttrq,co2_grv,co2_grvq,co2_msc,co2_mscq,co2_aa,co2_aaq,co2_unk,co2_unkq,co2_xrf,co2_xrfq,c_crb_ttr,c_crb_ttrq,c_org_dff,c_org_dffq,c_tot_cmb,c_tot_cmbq,s_org_msc,s_org_mscq,s_sfd_msc,s_sfd_mscq,s_so4_msc,s_so4_mscq,s_tot_msc,s_tot_mscq,cl_elctrd,cl_elctrdq,cl_clr,cl_clrq,cl_xrf,cl_xrfq,cl_msc,cl_mscq,cl_unk,cl_unkq,f_elctrd,f_elctrdq,f_msc,f_mscq,f_unk,f_unkq,
C105286,54.1,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,3.63,,,,,,,,,,0.62,,,,,,,,,,2.02,,,,,,,,,,,,4.52,,,,,,,,,,,,0.68,,,,,,,,,,,,0.25,,,,,,,,,,,,0.04,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,0.019,,0.171,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
C105287,79.6,,,,,,,,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,0.73,,,,,,,,,,0.54,,,,,,,,,,0.15,<,,,,,,,,,,,1.78,,,,,,,,,,,,0.29,,,,,,,,,,,,0.47,,,,,,,,,,,,0.01,<,,,,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,,,,0.005,,2.77,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
C105288,82.1,,,,,,,,,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,1.5,,,,,,,,,,0.03,,,,,,,,,,0.99,,,,,,,,,,,,1.69,,,,,,,,,,,,0.27,,,,,,,,,,,,0.09,,,,,,,,,,,,0.04,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,0.011,,0.799,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,
C105289,62.1,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,,,,,,,,,,3.65,,,,,,,,,,4.31,,,,,,,,,,4.23,,,,,,,,,,,,0.26,,,,,,,,,,,,0.7,,,,,,,,,,,,0.27,,,,,,,,,,,,0.06,,,,,,,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,,0.568,,0.262,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
C105290,82.8,,,,,,,,,,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,0.9,,,,,,,,,,0.34,,,,,,,,,,0.98,,,,,,,,,,,,1.3,,,,,,,,,,,,0.35,,,,,,,,,,,,0.18,,,,,,,,,,,,0.02,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,0.008,,0.622,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
C105291,61.3,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52,,,,,,,,,,3.85,,,,,,,,,,0.85,,,,,,,,,,1.93,,,,,,,,,,,,2.4,,,,,,,,,,,,0.86,,,,,,,,,,,,0.2,,,,,,,,,,,,0.08,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,0.005,,0.145,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
C105292,76,,,,,,,,,,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,,,,,,,,,,1.63,,,,,,,,,,0.05,,,,,,,,,,1.44,,,,,,,,,,,,1.77,,,,,,,,,,,,0.43,,,,,,,,,,,,0.19,,,,,,,,,,,,0.02,,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,0.005,,0.475,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
C105315,65.5,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,,1.81,,,,,,,,,,3.31,,,,,,,,,,3.54,,,,,,,,,,,,2.19,,,,,,,,,,,,0.62,,,,,,,,,,,,0.28,,,,,,,,,,,,0.28,,,,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C105316,44.9,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,8.42,,,,,,,,,,7.34,,,,,,,,,,2.55,,,,,,,,,,,,0.75,,,,,,,,,,,,1.63,,,,,,,,,,,,0.21,,,,,,,,,,,,0.16,,,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C105317,49,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,5.79,,,,,,,,,,8.23,,,,,,,,,,2.13,,,,,,,,,,,,0.1,,,,,,,,,,,,2.03,,,,,,,,,,,,0.27,,,,,,,,,,,,0.14,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
